	Central Wavelength	Gain	Offset	Radiance to Albedo		
	0.47020 	0.363546 	-7.270905 	0.001558 		
	0.50860 	0.343625 	-6.872498 	0.001660 		
	0.63940 	0.154856 	-6.194244 	0.001924 		
	0.86300 	0.045724 	-3.657928 	0.003272 		
	1.37400 	0.034688 	-1.387512 	0.008708 		
	1.60920 	0.049801 	-0.996017 	0.012951 		
				Radiance to Brightness Temperature		
	Central Wavenumber	Gain	Offset	c0	c1	c2
	2612.67737 	-0.001083 	17.699987 	-0.447843 	1.000656 	-6.34E-08
	1617.60924 	-0.010891 	44.177703 	-1.762794 	1.004149 	-9.83E-07
	1441.57543 	-0.008188 	66.748077 	-0.334311 	1.000974	-4.95E-07
	1365.24999 	-0.009698 	79.060852 	-0.061312 	1.000190 	-1.06E-07
	1164.94939 	-0.014481 	118.050903 	-0.141418 	1.000522 	-3.63E-07
	1039.96022 	-0.017844 	145.464874 	-0.114017 	1.000474 	-3.75E-07
	 966.15338 	-0.019820 	161.580139 	-0.142866 	1.000641 	-5.50E-07
	 891.71306 	-0.021674 	176.713439 	-0.249111 	1.001212 	-1.13E-06
	 810.60901 	-0.023380 	190.649627 	-0.458113 	1.002455 	-2.53E-06
	 753.59062 	-0.024304 	198.224365 	-0.093852 	1.000540 	-5.95E-07
